id,canonical_slug,name,created,description,context_length,supported_parameters,hugging_face_id,knowledge_cutoff,expiration_date,supported_voices
openai/gpt-5.6-terra,openai/gpt-5.6-terra-20260709,OpenAI: GPT-5.6 Terra,1783590857,"GPT-5.6 Terra is a balanced model in OpenAI's GPT-5.6 series, positioned between the flagship Sol tier and the cost-efficient Luna tier. It is suited for everyday coding, reasoning, and agentic...",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
openai/gpt-5.6-terra:batch,openai/gpt-5.6-terra-20260709,OpenAI: GPT-5.6 Terra (batch),1783590857,"GPT-5.6 Terra is a balanced model in OpenAI's GPT-5.6 series, positioned between the flagship Sol tier and the cost-efficient Luna tier. It is suited for everyday coding, reasoning, and agentic...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
openai/gpt-5.6-sol-pro,openai/gpt-5.6-sol-pro-20260709,OpenAI: GPT-5.6 Sol Pro,1783590854,"GPT-5.6 Sol Pro is the same underlying model as [GPT-5.6 Sol](https://openrouter.ai/openai/gpt-5.6-sol), served with `reasoning.mode` set to `pro` for higher-quality responses on complex tasks.

Learn more in OpenAI's docs: https://developers.openai.com/api/docs/guides/reasoning#reasoning-mode",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
openai/gpt-5.6-sol-pro:batch,openai/gpt-5.6-sol-pro-20260709,OpenAI: GPT-5.6 Sol Pro (batch),1783590854,"GPT-5.6 Sol Pro is the same underlying model as [GPT-5.6 Sol](https://openrouter.ai/openai/gpt-5.6-sol), served with `reasoning.mode` set to `pro` for higher-quality responses on complex tasks.

Learn more in OpenAI's docs: https://developers.openai.com/api/docs/guides/reasoning#reasoning-mode",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
openai/gpt-5.6-sol,openai/gpt-5.6-sol-20260709,OpenAI: GPT-5.6 Sol,1783590850,"GPT-5.6 Sol is the flagship model in OpenAI's GPT-5.6 series. It is suited for complex reasoning, coding, and agentic workflows, and is particularly strong at command-line and multi-step coding tasks...",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
openai/gpt-5.6-sol:batch,openai/gpt-5.6-sol-20260709,OpenAI: GPT-5.6 Sol (batch),1783590850,"GPT-5.6 Sol is the flagship model in OpenAI's GPT-5.6 series. It is suited for complex reasoning, coding, and agentic workflows, and is particularly strong at command-line and multi-step coding tasks...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
x-ai/grok-4.5,x-ai/grok-4.5-20260708,SpaceXAI: Grok 4.5,1783523154,"Grok 4.5 is a model from SpaceXAI with frontier performance on coding, knowledge work, and STEM.",500000,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; temperature; tool_choice; tools; top_logprobs; top_p,,,,
~x-ai/grok-latest,~x-ai/grok-latest,xAI: Grok Latest,1783519360,This model always redirects to the latest Grok model from xAI.,500000,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,AionLabs: Aion-3.0-Mini,1783443096,"Aion-3.0 Mini is a multi-model roleplaying and storytelling system from AionLabs, built on the DeepSeek family of models. It uses a collaborative generation process in which multiple specialized models each...",131072,include_reasoning; max_tokens; reasoning; response_format; temperature; tool_choice; tools; top_p,,,,
aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,AionLabs: Aion-3.0,1783443095,"Aion-3.0 is a multi-model roleplaying and storytelling system from AionLabs, built on the GLM family of models. It uses a collaborative generation process in which multiple specialized models each contribute...",131072,include_reasoning; max_tokens; reasoning; response_format; temperature; tool_choice; tools; top_p,,,,
tencent/hy3,tencent/hy3-20260706,Tencent: Hy3,1783344048,"Hy3 is a 295B-parameter Mixture-of-Experts model from Tencent (21B active, 192 experts with top-8 routing) built for reasoning, agentic workflows, and real-world production use. It supports a configurable reasoning effort:...",262144,frequency_penalty; include_reasoning; logit_bias; max_completion_tokens; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,tencent/Hy3,,,
poolside/laguna-xs-2.1,poolside/laguna-xs-2.1-20260625,Poolside: Laguna XS 2.1,1783002429,Laguna XS 2.1 is the latest coding agent model in the 33B-A3B category from [Poolside](https://poolside.ai/) and a step forward from their Laguna XS.2 model (released in April 2026). It combines...,262144,include_reasoning; max_tokens; reasoning; temperature; tool_choice; tools,poolside/Laguna-XS-2.1,,,
poolside/laguna-xs-2.1:free,poolside/laguna-xs-2.1-20260625,Poolside: Laguna XS 2.1 (free),1783002429,Laguna XS 2.1 is the latest coding agent model in the 33B-A3B category from [Poolside](https://poolside.ai/) and a step forward from their Laguna XS.2 model (released in April 2026). It combines...,262144,include_reasoning; max_tokens; reasoning; temperature; tool_choice; tools,poolside/Laguna-XS-2.1,,,
anthropic/claude-sonnet-5,anthropic/claude-sonnet-5-20260630,Anthropic: Claude Sonnet 5,1782843083,"Sonnet 5 is Anthropic's most capable Sonnet-class model, with frontier performance across coding, agents, and professional work. It supports adaptive thinking with selectable reasoning effort levels (low, medium, high, max,...",1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
anthropic/claude-sonnet-5:batch,anthropic/claude-sonnet-5-20260630,Anthropic: Claude Sonnet 5 (batch),1782843083,"Sonnet 5 is Anthropic's most capable Sonnet-class model, with frontier performance across coding, agents, and professional work. It supports adaptive thinking with selectable reasoning effort levels (low, medium, high, max,...",1000000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
google/gemini-3.1-flash-lite-image,google/gemini-3.1-flash-lite-image-20260630,Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image),1782837225,"Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image) is Google's fastest, most cost-efficient Gemini image model, built for high-velocity developer pipelines and rapid-fire visual exploration. It delivers text-to-image generation...",65536,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; temperature; top_p,,2025-01-01,,
sakana/fugu-ultra,sakana/fugu-ultra-20260615,Sakana: Fugu Ultra,1782276303,"Fugu Ultra is the higher-performance model in Sakana AI's Fugu family. Rather than a single monolithic model, Fugu is a learned multi-agent orchestration system: a language model trained to route...",1000000,include_reasoning; reasoning; reasoning_effort; structured_outputs; tool_choice; tools; web_search_options,,,,
google/gemini-3.1-flash-image,google/gemini-3.1-flash-image-20260528,Google: Nano Banana 2 (Gemini 3.1 Flash Image),1781754065,"Gemini 3.1 Flash Image, a.k.a. ""Nano Banana 2,"" is Google’s latest state of the art image generation and editing model, delivering Pro-level visual quality at Flash speed. It combines advanced...",131072,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; temperature; top_p,,,,
google/gemini-3-pro-image,google/gemini-3-pro-image-20260528,Google: Nano Banana Pro (Gemini 3 Pro Image),1781754054,"Nano Banana Pro is Google’s most advanced image-generation and editing model, built on Gemini 3 Pro. It extends the original Nano Banana with significantly improved multimodal reasoning, real-world grounding, and...",131072,include_reasoning; max_tokens; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
cohere/north-mini-code:free,cohere/north-mini-code-20260617,Cohere: North Mini Code (free),1781723748,"North Mini Code is Cohere's first agentic coding model and the debut of its North family. A sparse mixture-of-experts model with 30B total parameters and 3B active, it is optimized...",256000,frequency_penalty; include_reasoning; max_tokens; presence_penalty; reasoning; seed; stop; temperature; tool_choice; tools; top_k; top_p,CohereLabs/North-Mini-Code-1.0,,,
z-ai/glm-5.2,z-ai/glm-5.2-20260616,Z.ai: GLM 5.2,1781631930,"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; parallel_tool_calls; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.2,,,
z-ai/glm-5.2:batch,z-ai/glm-5.2-20260616,Z.ai: GLM 5.2 (batch),1781631930,"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.2,,,
z-ai/glm-5.2:free,z-ai/glm-5.2-20260616,Z.ai: GLM 5.2 (free),1781631930,"GLM 5.2 is a large-scale reasoning model from Z.ai. It supports text input and output with a 1M-token context window, and is suited for long-horizon agent workflows, project-level software engineering,...",32768,frequency_penalty; include_reasoning; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; seed; stop; temperature; top_k; top_p,zai-org/GLM-5.2,,,
openrouter/fusion,openrouter/fusion,OpenRouter: Fusion,1781371647,"Fusion turns your prompt into a small multi-model deliberation. A panel of expert models (see below) analyzes your prompt in parallel with web search and web fetch enabled, then a...",1000000,,,,,
moonshotai/kimi-k2.7-code,moonshotai/kimi-k2.7-code-20260612,MoonshotAI: Kimi K2.7 Code,1781266361,"MoonshotAI: Kimi K2.7 Code is a coding-focused model in Moonshot AI's Kimi K2 family, built to complete end-to-end programming tasks reliably over long contexts. It uses a native multimodal mixture-of-experts...",262144,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; parallel_tool_calls; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,moonshotai/Kimi-K2.7-Code,,,
~anthropic/claude-fable-latest,~anthropic/claude-fable-latest,Anthropic: Claude Fable Latest,1781029944,This model always redirects to the latest model in the Claude Fable family.,1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tools; verbosity,,,,
anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,Anthropic: Claude Fable 5,1781007515,"Claude Fable 5 is a Mythos-class model from Anthropic, built for autonomous knowledge work and coding. It supports text, image, and file inputs with text output, with reasoning support and...",1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
anthropic/claude-fable-5:batch,anthropic/claude-5-fable-20260609,Anthropic: Claude Fable 5 (batch),1781007515,"Claude Fable 5 is a Mythos-class model from Anthropic, built for autonomous knowledge work and coding. It supports text, image, and file inputs with text output, with reasoning support and...",1000000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
nvidia/nemotron-3.5-content-safety,nvidia/nemotron-3.5-content-safety-20260604,NVIDIA: Nemotron 3.5 Content Safety,1780581864,"NVIDIA Nemotron 3.5 Content Safety is a compact 4B-parameter multimodal guardrail model from NVIDIA, fine-tuned from Google Gemma-3-4B. It moderates both inputs to and responses from LLMs and VLMs, accepting...",131072,frequency_penalty; include_reasoning; logit_bias; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; seed; stop; temperature; top_k; top_p,nvidia/Nemotron-3.5-Content-Safety,,,
nvidia/nemotron-3.5-content-safety:free,nvidia/nemotron-3.5-content-safety-20260604,NVIDIA: Nemotron 3.5 Content Safety (free),1780581864,"NVIDIA Nemotron 3.5 Content Safety is a compact 4B-parameter multimodal guardrail model from NVIDIA, fine-tuned from Google Gemma-3-4B. It moderates both inputs to and responses from LLMs and VLMs, accepting...",128000,include_reasoning; max_tokens; reasoning; seed; temperature; top_p,nvidia/Nemotron-3.5-Content-Safety,,,
nvidia/nemotron-3-ultra-550b-a55b,nvidia/nemotron-3-ultra-550b-a55b-20260604,NVIDIA: Nemotron 3 Ultra,1780551208,"NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA, with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture, it...",262144,frequency_penalty; include_reasoning; logit_bias; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,,,
nvidia/nemotron-3-ultra-550b-a55b:free,nvidia/nemotron-3-ultra-550b-a55b-20260604,NVIDIA: Nemotron 3 Ultra (free),1780551208,"NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA, with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture, it...",1000000,include_reasoning; max_tokens; reasoning; reasoning_effort; seed; temperature; tool_choice; tools; top_p,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,,,
qwen/qwen3.7-plus,qwen/qwen3.7-plus-20260602,Qwen: Qwen3.7 Plus,1780491783,"Qwen3.7-Plus is a cost-effective model in Alibaba's Qwen3.7 series. It supports text and image input with text output, building on the series' text capabilities with a comprehensive upgrade to its...",1000000,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
minimax/minimax-m3,minimax/minimax-m3-20260531,MiniMax: MiniMax M3,1780245374,"MiniMax-M3 is a multimodal foundation model from MiniMax. It supports text, image, and video inputs with text output, a 1M-token context window, and is suited for long-horizon agentic work, coding,...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,MiniMaxAI/Minimax-M3,,,
minimax/minimax-m3:batch,minimax/minimax-m3-20260531,MiniMax: MiniMax M3 (batch),1780245374,"MiniMax-M3 is a multimodal foundation model from MiniMax. It supports text, image, and video inputs with text output, a 1M-token context window, and is suited for long-horizon agentic work, coding,...",524288,frequency_penalty; include_reasoning; logit_bias; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,MiniMaxAI/Minimax-M3,,,
stepfun/step-3.7-flash,stepfun/step-3.7-flash-20260528,StepFun: Step 3.7 Flash,1779985069,"Step 3.7 Flash is StepFun's latest high-efficiency multimodal Mixture-of-Experts model. It pairs a 196B-parameter language backbone with a vision encoder for native image and video understanding, activating roughly 11B parameters...",262144,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,stepfun-ai/Step-3.7-Flash,,,
anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic: Claude Opus 4.8,1779905091,"Claude Opus 4.8 is Anthropic's most capable generally available model in the Opus family. It supports text, image, and file inputs with text output, with reasoning support and a 1M-token...",1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; temperature; tool_choice; tools; verbosity,,,,
anthropic/claude-opus-4.8:batch,anthropic/claude-4.8-opus-20260528,Anthropic: Claude Opus 4.8 (batch),1779905091,"Claude Opus 4.8 is Anthropic's most capable generally available model in the Opus family. It supports text, image, and file inputs with text output, with reasoning support and a 1M-token...",1000000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
qwen/qwen3.7-max,qwen/qwen3.7-max-20260520,Qwen: Qwen3.7 Max,1779376861,"Qwen3.7-Max is the flagship model in Alibaba's Qwen3.7 series. It supports text input and output and is designed for agent-centric workloads, with particular strengths in coding, office and productivity tasks,...",1000000,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
x-ai/grok-build-0.1,x-ai/grok-build-0.1-20260520,SpaceXAI: Grok Build 0.1,1779298123,"Grok Build 0.1 is SpaceXAI’s fast coding model trained specifically for agentic software engineering workflows. It supports text and image inputs with text output, and is optimized for interactive coding...",256000,include_reasoning; logprobs; max_tokens; reasoning; response_format; seed; structured_outputs; temperature; tool_choice; tools; top_logprobs; top_p,,,,
google/gemini-3.5-flash,google/gemini-3.5-flash-20260519,Google: Gemini 3.5 Flash,1779193800,"Gemini 3.5 Flash is Google's high-efficiency multimodal model, bringing near-Pro level coding and reasoning at Flash-tier cost and speed. It is highly optimized for coding proficiency and parallel agentic execution...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,2025-01-01,,
google/gemini-3.5-flash:batch,google/gemini-3.5-flash-20260519,Google: Gemini 3.5 Flash (batch),1779193800,"Gemini 3.5 Flash is Google's high-efficiency multimodal model, bringing near-Pro level coding and reasoning at Flash-tier cost and speed. It is highly optimized for coding proficiency and parallel agentic execution...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,2025-01-01,,
perceptron/perceptron-mk1,perceptron/perceptron-mk1-20260512,Perceptron: Perceptron Mk1,1778597029,"Perceptron Mk1 (Mark One) is Perceptron's highest-quality vision-language model for video and embodied reasoning.** It accepts image and video inputs paired with natural language queries, and produces detailed visual understanding...",32768,frequency_penalty; include_reasoning; max_tokens; presence_penalty; reasoning; structured_outputs; temperature; top_k; top_p,,,,
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,Google: Gemini 3.1 Flash Lite,1778168828,"Gemini 3.1 Flash Lite is Google’s GA high-efficiency multimodal model optimized for low-latency, high-volume workloads. It supports text, image, video, audio, and PDF inputs, and is designed for lightweight agentic...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
google/gemini-3.1-flash-lite:batch,google/gemini-3.1-flash-lite-20260507,Google: Gemini 3.1 Flash Lite (batch),1778168828,"Gemini 3.1 Flash Lite is Google’s GA high-efficiency multimodal model optimized for low-latency, high-volume workloads. It supports text, image, video, audio, and PDF inputs, and is designed for lightweight agentic...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
openai/gpt-chat-latest,openai/gpt-chat-latest-20260505,OpenAI: GPT Chat Latest,1778000212,GPT Chat Latest points to OpenAI's stable API alias `chat-latest` that always resolves to the latest Instant chat model used in ChatGPT. As OpenAI rolls out new Instant model updates...,400000,max_tokens; response_format; seed; structured_outputs; tool_choice; tools,,,,
x-ai/grok-4.3,x-ai/grok-4.3-20260430,SpaceXAI: Grok 4.3,1777591821,"Grok 4.3 is a reasoning model from SpaceXAI. It accepts text and image inputs with text output, and is suited for agentic workflows, instruction-following tasks, and applications requiring high factual...",1000000,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; temperature; tool_choice; tools; top_logprobs; top_p,,,,
x-ai/grok-4.3:batch,x-ai/grok-4.3-20260430,SpaceXAI: Grok 4.3 (batch),1777591821,"Grok 4.3 is a reasoning model from SpaceXAI. It accepts text and image inputs with text output, and is suited for agentic workflows, instruction-following tasks, and applications requiring high factual...",1000000,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; temperature; tool_choice; tools; top_logprobs; top_p,,,,
mistralai/mistral-medium-3-5,mistralai/mistral-medium-3.5-20260430,Mistral: Mistral Medium 3.5,1777570439,"Mistral Medium 3.5 is a dense 128B instruction-following model from Mistral AI. It supports text and image inputs with text output, and is designed for agentic workflows, coding, and complex...",262144,frequency_penalty; include_reasoning; max_tokens; presence_penalty; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
mistralai/mistral-medium-3-5:batch,mistralai/mistral-medium-3.5-20260430,Mistral: Mistral Medium 3.5 (batch),1777570439,"Mistral Medium 3.5 is a dense 128B instruction-following model from Mistral AI. It supports text and image inputs with text output, and is designed for agentic workflows, coding, and complex...",262144,frequency_penalty; include_reasoning; max_tokens; presence_penalty; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning-20260428,NVIDIA: Nemotron 3 Nano Omni (free),1777393095,"NVIDIA Nemotron™ 3 Nano Omni is a 30B-A3B open multimodal model designed to function as a perception and context sub-agent in enterprise agent systems. It accepts text, image, video, and...",256000,include_reasoning; max_tokens; reasoning; seed; temperature; tool_choice; tools; top_p,nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-BF16,,,
~anthropic/claude-haiku-latest,~anthropic/claude-haiku-latest,Anthropic: Claude Haiku Latest,1777318492,This model always redirects to the latest model in the Claude Haiku family.,200000,include_reasoning; max_completion_tokens; max_tokens; reasoning; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,,,,
~openai/gpt-mini-latest,~openai/gpt-mini-latest,OpenAI: GPT Mini Latest,1777318471,This model always redirects to the latest model in the GPT Mini family.,400000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2025-08-31,,
~google/gemini-pro-latest,~google/gemini-pro-latest,Google: Gemini Pro Latest,1777318451,This model always redirects to the latest model in the Gemini Pro family.,1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
~moonshotai/kimi-latest,~moonshotai/kimi-latest,MoonshotAI: Kimi Latest,1777318428,This model always redirects to the latest model in the Kimi family.,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
~google/gemini-flash-latest,~google/gemini-flash-latest,Google: Gemini Flash Latest,1777318398,This model always redirects to the latest model in the Gemini Flash family.,1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
~anthropic/claude-sonnet-latest,~anthropic/claude-sonnet-latest,Anthropic: Claude Sonnet Latest,1777318368,This model always redirects to the latest model in the Claude Sonnet family.,1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
qwen/qwen3.5-plus-20260420,qwen/qwen3.5-plus-20260420,Qwen: Qwen3.5 Plus 2026-04-20,1777261368,"Qwen3.5 Plus (April 2026) is a large-scale multimodal language model from Alibaba. It accepts text, image, and video input and produces text output, with a 1M token context window. This...",1000000,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
qwen/qwen3.6-flash,qwen/qwen3.6-flash,Qwen: Qwen3.6 Flash,1777261362,"Qwen3.6 Flash is a fast, efficient language model from Alibaba's Qwen 3.6 series. It supports text, image, and video input with a 1M token context window. Tiered pricing kicks in...",1000000,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
qwen/qwen3.6-35b-a3b,qwen/qwen3.6-35b-a3b-20260415,Qwen: Qwen3.6 35B A3B,1777260255,Qwen3.6-35B-A3B is an open-weight multimodal model from Alibaba Cloud with 35 billion total parameters and 3 billion active parameters per token. It uses a hybrid sparse mixture-of-experts architecture combining Gated...,262144,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,Qwen/Qwen3.6-35B-A3B,,,
qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview-20260420,Qwen: Qwen3.6 Max Preview,1777260242,"Qwen3.6-Max-Preview is a proprietary frontier model from Alibaba Cloud built on a sparse mixture-of-experts architecture with approximately 1 trillion total parameters. It is optimized for agentic coding, tool use, and...",262144,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
qwen/qwen3.6-27b,qwen/qwen3.6-27b-20260422,Qwen: Qwen3.6 27B,1777255064,"Qwen3.6 27B is a dense 27-billion-parameter language model from the Qwen Team at Alibaba, released in April 2026. It features hybrid multimodal capabilities — accepting text, image, and video inputs...",262144,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,Qwen/Qwen3.6-27B,,,
openai/gpt-5.5-pro,openai/gpt-5.5-pro-20260423,OpenAI: GPT-5.5 Pro,1777051896,"GPT-5.5 Pro is OpenAI’s high-capability model optimized for deep reasoning and accuracy on complex, high-stakes workloads. It features a 1M+ token context window (922K input, 128K output) with support for...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2025-12-01,,
openai/gpt-5.5-pro:batch,openai/gpt-5.5-pro-20260423,OpenAI: GPT-5.5 Pro (batch),1777051896,"GPT-5.5 Pro is OpenAI’s high-capability model optimized for deep reasoning and accuracy on complex, high-stakes workloads. It features a 1M+ token context window (922K input, 128K output) with support for...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2025-12-01,,
openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI: GPT-5.5,1777051893,"GPT-5.5 is OpenAI’s frontier model designed for complex professional workloads, building on GPT-5.4 with stronger reasoning, higher reliability, and improved token efficiency on hard tasks. It features a 1M+ token...",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2025-12-01,,
openai/gpt-5.5:batch,openai/gpt-5.5-20260423,OpenAI: GPT-5.5 (batch),1777051893,"GPT-5.5 is OpenAI’s frontier model designed for complex professional workloads, building on GPT-5.4 with stronger reasoning, higher reliability, and improved token efficiency on hard tasks. It features a 1M+ token...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2025-12-01,,
